** World Map Location info
** name : row : col : fromMapIndex : getMapIndex : terrain : teleporter : monsterFrequencies : riddlePoints
TEMP:-1:-1:-1:-1:2:(-1 -1 -1 ?):[]:[]
ship:-1:-1:-1:-1:2:(-1 -1 -1 ?):[]:[]
Chukudic burrow:112:84:0:-1:35:(2 -1 -1 ?):[]:[]
Middle Todosthorp:214:904:0:-1:34:(2 -1 -1 ?):[]:[]
Potet cave:403:950:0:-1:35:(2 -1 -1 ?):[]:[]
Damod lair:891:163:0:-1:37:(2 -1 -1 ?):[]:[]
Chodusac City:859:855:0:-1:30:(2 -1 -1 ?):[]:[]
Knights Hedekob:196:570:0:-1:33:(2 -1 -1 ?):[]:[]
Dodakchester Town:72:466:0:-1:26:(2 -1 -1 ?):[]:[]
Dodakchester Bowl:72:468:0:-1:28:(2 -1 -1 ?):[]:[]
Gat Chapel:908:343:0:-1:24:(2 -1 -1 ?):[]:[]
Chulor shaft:393:125:0:-1:38:(2 -1 -1 ?):[]:[]
Retat shaft:341:975:0:-1:38:(2 -1 -1 ?):[]:[]
Cid quarry:139:147:0:-1:38:(2 -1 -1 ?):[]:[]
Thapatos hollow:892:502:0:-1:35:(2 -1 -1 ?):[]:[]
Thorac Mission:535:143:0:-1:24:(2 -1 -1 ?):[]:[]
Sacadec fort:13:328:0:-1:37:(2 -1 -1 ?):[]:[]
Knights Fitongate:338:903:0:-1:21:(2 -1 -1 ?):[]:[]
Thutibon Manor:69:564:0:-1:33:(2 -1 -1 ?):[]:[]
Lunecop Landing:104:605:0:-1:34:(2 -1 -1 ?):[]:[]
Badelac den:534:517:0:-1:35:(2 -1 -1 ?):[]:[]
Thababum cave:582:26:0:-1:35:(2 -1 -1 ?):[]:[]
Baterester Township:611:719:0:-1:22:(2 -1 -1 ?):[]:[]
Rapuk mine:249:315:0:-1:38:(2 -1 -1 ?):[]:[]
Thudal hollow:806:164:0:-1:36:(2 -1 -1 ?):[]:[]
Lak nest:605:27:0:-1:37:(2 -1 -1 ?):[]:[]
Shibecub hollow:814:613:0:-1:35:(2 -1 -1 ?):[]:[]
Nodab hollow:909:533:0:-1:35:(2 -1 -1 ?):[]:[]
Betanod shaft:37:111:0:-1:38:(2 -1 -1 ?):[]:[]
Romodstow Commons:214:364:0:-1:32:(2 -1 -1 ?):[]:[]
Kisitem fount:577:904:0:-1:38:(2 -1 -1 ?):[]:[]
Numit shaft:606:570:0:-1:38:(2 -1 -1 ?):[]:[]
Mipat Cathedral:411:889:0:-1:24:(2 -1 -1 ?):[]:[]
Shorup Pantheon:335:323:0:-1:24:(2 -1 -1 ?):[]:[]
Kinibop Manor:813:252:0:-1:23:(2 -1 -1 ?):[]:[]
Chun lair:524:793:0:-1:37:(2 -1 -1 ?):[]:[]
Fort Lemupgate:438:640:0:-1:21:(2 -1 -1 ?):[]:[]
Metamat Trenches:33:119:0:-1:41:(2 -1 -1 ?):[]:[]
Dapacur burrow:809:964:0:-1:35:(2 -1 -1 ?):[]:[]
Thurekfolk Hold:562:368:0:-1:30:(2 -1 -1 ?):[]:[]
Jekucport Bay:983:651:0:-1:34:(2 -1 -1 ?):[]:[]
Gesamam hollow:973:272:0:-1:35:(2 -1 -1 ?):[]:[]
Doban cavern:412:498:0:-1:35:(2 -1 -1 ?):[]:[]
Hodekol cave:487:604:0:-1:36:(2 -1 -1 ?):[]:[]
Gurutul Ruins:441:676:0:-1:24:(2 -1 -1 ?):[]:[]
Waters Tamidbane:99:226:0:-1:34:(2 -1 -1 ?):[]:[]
Pikek hollow:135:676:0:-1:35:(2 -1 -1 ?):[]:[]
Thasocpont Keep:337:568:0:-1:22:(2 -1 -1 ?):[]:[]
Chitport Dockage:236:315:0:-1:34:(2 -1 -1 ?):[]:[]
Fort Dubalborne:553:868:0:-1:30:(2 -1 -1 ?):[]:[]
Tapud Clove:546:996:0:-1:41:(2 -1 -1 ?):[]:[]
Silodun fort:577:191:0:-1:37:(2 -1 -1 ?):[]:[]
Kings Cedutsmith:702:380:0:-1:22:(2 -1 -1 ?):[]:[]
Stid cave:781:732:0:-1:35:(2 -1 -1 ?):[]:[]
Nacedport City:860:875:0:-1:26:(2 -1 -1 ?):[]:[]
Nacedport Arena:860:873:0:-1:28:(2 -1 -1 ?):[]:[]
Lower Daludshire:31:51:0:-1:26:(2 -1 -1 ?):[]:[]
Dragons Lecorwich:173:324:0:-1:33:(2 -1 -1 ?):[]:[]
Rudukim hold:302:315:0:-1:37:(2 -1 -1 ?):[]:[]
Shacac cavern:802:175:0:-1:35:(2 -1 -1 ?):[]:[]
Chibanep shaft:327:813:0:-1:38:(2 -1 -1 ?):[]:[]
Lomir Cathedral:195:785:0:-1:24:(2 -1 -1 ?):[]:[]
New Durstow:835:559:0:-1:33:(2 -1 -1 ?):[]:[]
Middle Likikshaw:805:274:0:-1:34:(2 -1 -1 ?):[]:[]
Chomud grotto:485:234:0:-1:35:(2 -1 -1 ?):[]:[]
Lower Solokia:23:972:0:-1:32:(2 -1 -1 ?):[]:[]
Thap Pass:832:875:0:-1:41:(2 -1 -1 ?):[]:[]
Rer hollow:36:240:0:-1:35:(2 -1 -1 ?):[]:[]
Fort Shacuchowe:878:842:0:-1:26:(2 -1 -1 ?):[]:[]
Shum grotto:768:682:0:-1:36:(2 -1 -1 ?):[]:[]
Motelit burrow:174:45:0:-1:35:(2 -1 -1 ?):[]:[]
Tenid Passing:204:620:0:-1:41:(2 -1 -1 ?):[]:[]
Cholilib Commons:443:799:0:-1:30:(2 -1 -1 ?):[]:[]
Old Gonenip:852:495:0:-1:34:(2 -1 -1 ?):[]:[]
Shebopin Santuary:881:788:0:-1:24:(2 -1 -1 ?):[]:[]
Lords Hirocmore:698:364:0:-1:23:(2 -1 -1 ?):[]:[]
Sakel shaft:782:802:0:-1:38:(2 -1 -1 ?):[]:[]
Shocip Santuary:488:210:0:-1:24:(2 -1 -1 ?):[]:[]
Mitoman City:193:656:0:-1:26:(2 -1 -1 ?):[]:[]
Theser burrow:753:555:0:-1:35:(2 -1 -1 ?):[]:[]
Febod Pantheon:357:547:0:-1:24:(2 -1 -1 ?):[]:[]
Gapitup lair:494:875:0:-1:37:(2 -1 -1 ?):[]:[]
Dimam grotto:233:304:0:-1:35:(2 -1 -1 ?):[]:[]
Kukel Chapel:841:182:0:-1:24:(2 -1 -1 ?):[]:[]
Great Tasod:442:601:0:-1:26:(2 -1 -1 ?):[]:[]
Tasod Field:442:603:0:-1:28:(2 -1 -1 ?):[]:[]
Lower Chimdunn:142:943:0:-1:32:(2 -1 -1 ?):[]:[]
Hakudal grotto:264:522:0:-1:35:(2 -1 -1 ?):[]:[]
Knights Lacacap:449:328:0:-1:32:(2 -1 -1 ?):[]:[]
Nenusob quarry:857:905:0:-1:38:(2 -1 -1 ?):[]:[]
Seneb Valley:433:957:0:-1:41:(2 -1 -1 ?):[]:[]
Gasec Shrine:575:740:0:-1:24:(2 -1 -1 ?):[]:[]
Linur cavern:778:893:0:-1:35:(2 -1 -1 ?):[]:[]
Sodepap Proper:654:293:0:-1:26:(2 -1 -1 ?):[]:[]
Rumad burrow:303:811:0:-1:37:(2 -1 -1 ?):[]:[]
Cenab Passing:284:46:0:-1:41:(2 -1 -1 ?):[]:[]
Hututep cavern:481:186:0:-1:36:(2 -1 -1 ?):[]:[]
Kings Betedid:863:387:0:-1:32:(2 -1 -1 ?):[]:[]
Lower Cipatub:166:574:0:-1:34:(2 -1 -1 ?):[]:[]
Shibur hold:386:975:0:-1:37:(2 -1 -1 ?):[]:[]
Diren grotto:113:180:0:-1:37:(2 -1 -1 ?):[]:[]
New Thobacir:267:100:0:-1:30:(2 -1 -1 ?):[]:[]
Sekamol burrow:716:588:0:-1:36:(2 -1 -1 ?):[]:[]
Penelok burrow:924:53:0:-1:35:(2 -1 -1 ?):[]:[]
Gebiningdon Manor:84:784:0:-1:26:(2 -1 -1 ?):[]:[]
Gebiningdon Coliseum:84:782:0:-1:28:(2 -1 -1 ?):[]:[]
Jupek cavern:39:499:0:-1:35:(2 -1 -1 ?):[]:[]
Thulitfield Town:237:419:0:-1:23:(2 -1 -1 ?):[]:[]
Thikemel shaft:201:21:0:-1:38:(2 -1 -1 ?):[]:[]
New Jebonshaw:545:280:0:-1:22:(2 -1 -1 ?):[]:[]
Guritborne Commons:91:460:0:-1:33:(2 -1 -1 ?):[]:[]
Busekab Keep:483:842:0:-1:26:(2 -1 -1 ?):[]:[]
Jib burrow:782:228:0:-1:37:(2 -1 -1 ?):[]:[]
Kem burrow:314:934:0:-1:35:(2 -1 -1 ?):[]:[]
Middle Rilatland:57:654:0:-1:34:(2 -1 -1 ?):[]:[]
Banum shaft:853:786:0:-1:38:(2 -1 -1 ?):[]:[]
Meril grotto:342:19:0:-1:35:(2 -1 -1 ?):[]:[]
Cinonin keep:716:496:0:-1:37:(2 -1 -1 ?):[]:[]
Reningdon Yard:838:858:0:-1:34:(2 -1 -1 ?):[]:[]
Lerel den:138:674:0:-1:35:(2 -1 -1 ?):[]:[]
Kabas Chapel:216:644:0:-1:24:(2 -1 -1 ?):[]:[]
Tupisun Santuary:204:743:0:-1:24:(2 -1 -1 ?):[]:[]
Gobut quarry:492:905:0:-1:38:(2 -1 -1 ?):[]:[]
Chamolem Clove:468:579:0:-1:41:(2 -1 -1 ?):[]:[]
Chisob fount:270:677:0:-1:38:(2 -1 -1 ?):[]:[]
Necosit burrow:741:758:0:-1:36:(2 -1 -1 ?):[]:[]
Cumur grotto:455:427:0:-1:35:(2 -1 -1 ?):[]:[]
Fecekun Chapel:561:849:0:-1:24:(2 -1 -1 ?):[]:[]
Banocer Pantheon:705:908:0:-1:24:(2 -1 -1 ?):[]:[]
Old Kebabshaw:852:677:0:-1:33:(2 -1 -1 ?):[]:[]
Waters Nocsmith:677:420:0:-1:34:(2 -1 -1 ?):[]:[]
Menatas Plain:511:532:0:-1:41:(2 -1 -1 ?):[]:[]
Kam Temple:116:688:0:-1:24:(2 -1 -1 ?):[]:[]
Numaror cavern:83:217:0:-1:35:(2 -1 -1 ?):[]:[]
Fikok burrow:932:522:0:-1:35:(2 -1 -1 ?):[]:[]
Heroes Tidelkirk:64:701:0:-1:26:(2 -1 -1 ?):[]:[]
Cenun hollow:229:962:0:-1:35:(2 -1 -1 ?):[]:[]
Storit Trenches:504:634:0:-1:41:(2 -1 -1 ?):[]:[]
Bupupup mine:382:59:0:-1:38:(2 -1 -1 ?):[]:[]
Nikin Temple:896:127:0:-1:24:(2 -1 -1 ?):[]:[]
Licol mine:735:791:0:-1:38:(2 -1 -1 ?):[]:[]
Bek Cathedral:443:522:0:-1:24:(2 -1 -1 ?):[]:[]
Simanin den:45:125:0:-1:37:(2 -1 -1 ?):[]:[]
Port Chacerburgh:486:729:0:-1:34:(2 -1 -1 ?):[]:[]
Fort Jususac:698:30:0:-1:30:(2 -1 -1 ?):[]:[]
Ralis cave:61:139:0:-1:36:(2 -1 -1 ?):[]:[]
Dacatus cavern:766:278:0:-1:35:(2 -1 -1 ?):[]:[]
Shukabel Town:31:349:0:-1:33:(2 -1 -1 ?):[]:[]
Golac cavern:301:433:0:-1:35:(2 -1 -1 ?):[]:[]
Sipac nest:338:372:0:-1:37:(2 -1 -1 ?):[]:[]
Lower Pipamchester:994:863:0:-1:34:(2 -1 -1 ?):[]:[]
Jasic cavern:208:345:0:-1:35:(2 -1 -1 ?):[]:[]
Shosanid den:134:674:0:-1:35:(2 -1 -1 ?):[]:[]
Hadib Chapel:98:135:0:-1:24:(2 -1 -1 ?):[]:[]
Fort Tumethope:35:754:0:-1:30:(2 -1 -1 ?):[]:[]
Gimec shaft:904:185:0:-1:38:(2 -1 -1 ?):[]:[]
Hapok den:968:857:0:-1:37:(2 -1 -1 ?):[]:[]
Bosar Temple:758:899:0:-1:24:(2 -1 -1 ?):[]:[]
Cotused lair:909:427:0:-1:37:(2 -1 -1 ?):[]:[]
Heroes Bedorchester:385:920:0:-1:30:(2 -1 -1 ?):[]:[]
Keperuc quarry:414:44:0:-1:38:(2 -1 -1 ?):[]:[]
Dumurbane City:17:570:0:-1:23:(2 -1 -1 ?):[]:[]
Thepot hollow:165:972:0:-1:35:(2 -1 -1 ?):[]:[]
Ronemac hollow:965:246:0:-1:35:(2 -1 -1 ?):[]:[]
Musol hollow:850:388:0:-1:35:(2 -1 -1 ?):[]:[]
Stesus cavern:47:809:0:-1:36:(2 -1 -1 ?):[]:[]
Nuser Valley:737:628:0:-1:41:(2 -1 -1 ?):[]:[]
Stolumal Manor:727:759:0:-1:24:(2 -1 -1 ?):[]:[]
Mocupur fount:877:149:0:-1:38:(2 -1 -1 ?):[]:[]
Thumen grotto:866:860:0:-1:35:(2 -1 -1 ?):[]:[]
Jacip Manor:985:446:0:-1:24:(2 -1 -1 ?):[]:[]
Nir den:431:770:0:-1:35:(2 -1 -1 ?):[]:[]
Bimip fount:440:256:0:-1:38:(2 -1 -1 ?):[]:[]
Skara-Brae:50:50:0:-1:24:(2 -1 -1 ?):[]:[]
Fasiram grotto:959:83:0:-1:36:(2 -1 -1 ?):[]:[]
Folimfield Proper:567:235:0:-1:32:(2 -1 -1 ?):[]:[]
Waters Stetstoe:446:290:0:-1:34:(2 -1 -1 ?):[]:[]
Chiral Shrine:472:570:0:-1:24:(2 -1 -1 ?):[]:[]
Stoduk Temple:507:121:0:-1:24:(2 -1 -1 ?):[]:[]
Theketus Cathedral:704:593:0:-1:24:(2 -1 -1 ?):[]:[]
Mun Field:891:81:0:-1:41:(2 -1 -1 ?):[]:[]
Kubacup den:334:519:0:-1:35:(2 -1 -1 ?):[]:[]
Thakokloch Hold:590:228:0:-1:21:(2 -1 -1 ?):[]:[]
Nisanep Pass:911:536:0:-1:41:(2 -1 -1 ?):[]:[]
Dor hollow:175:969:0:-1:35:(2 -1 -1 ?):[]:[]
Gudodop Clove:914:375:0:-1:41:(2 -1 -1 ?):[]:[]
Sedik burrow:889:530:0:-1:36:(2 -1 -1 ?):[]:[]
Sisemuc Keep:992:639:0:-1:30:(2 -1 -1 ?):[]:[]
Chasos cave:593:100:0:-1:36:(2 -1 -1 ?):[]:[]
Joricid mine:868:915:0:-1:38:(2 -1 -1 ?):[]:[]
Lerington Docks:700:794:0:-1:34:(2 -1 -1 ?):[]:[]
Heroes Tasabingdon:152:610:0:-1:23:(2 -1 -1 ?):[]:[]
Balot Chapel:211:272:0:-1:24:(2 -1 -1 ?):[]:[]
Lener shaft:400:983:0:-1:38:(2 -1 -1 ?):[]:[]
Bidalim Manor:285:328:0:-1:23:(2 -1 -1 ?):[]:[]
Rutadib cave:450:2:0:-1:35:(2 -1 -1 ?):[]:[]
Gemed keep:588:474:0:-1:37:(2 -1 -1 ?):[]:[]
Lucedbridge Proper:575:929:0:-1:30:(2 -1 -1 ?):[]:[]
Mec quarry:374:842:0:-1:38:(2 -1 -1 ?):[]:[]
Melopil burrow:476:292:0:-1:37:(2 -1 -1 ?):[]:[]
Ceces cavern:695:797:0:-1:36:(2 -1 -1 ?):[]:[]
Ster Tabernacle:588:343:0:-1:24:(2 -1 -1 ?):[]:[]
Nemudus Town:596:818:0:-1:33:(2 -1 -1 ?):[]:[]
Solakes Cathedral:189:986:0:-1:24:(2 -1 -1 ?):[]:[]
Thobol Gulch:775:100:0:-1:41:(2 -1 -1 ?):[]:[]
Rutibir hollow:899:970:0:-1:35:(2 -1 -1 ?):[]:[]
Herelar den:959:774:0:-1:35:(2 -1 -1 ?):[]:[]
Falim Shrine:99:910:0:-1:24:(2 -1 -1 ?):[]:[]
Stibasim hold:422:715:0:-1:37:(2 -1 -1 ?):[]:[]
Lords Becanpont:181:487:0:-1:22:(2 -1 -1 ?):[]:[]
Camod Valley:426:432:0:-1:41:(2 -1 -1 ?):[]:[]
Pum burrow:115:22:0:-1:36:(2 -1 -1 ?):[]:[]
